q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
2,51,13,0.7452950103375869,0.9229304112804195,0.0016485871307593634,0.0012935766222170165,0.2445901246742126,0.682722340950189,0.8731529749482448,0.002357308072523579,0.0017790651677080528,0.29248533867807713,first,oracle,0,0,1,4212
3,51,13,0.7949760381768491,0.9436943859700027,0.0013151839680163328,0.0010340275916893892,0.1951252710303941,0.7808773504976035,0.9011998507672069,0.0021122601592601866,0.0015351285820844015,0.2620807756349145,first,oracle,0,0,1,4213
4,51,13,0.8081493998303227,0.9579570586865385,0.001107265231921322,0.0008801605374316732,0.1642777236762188,0.7833558846217075,0.8926674604575433,0.002143667239528356,0.0016908430567797023,0.26597764029006793,first,oracle,0,0,1,4214
5,51,13,0.8495486642335632,0.9654151607325042,0.0009769517116570226,0.0008025561561026857,0.14494395624986559,0.8765791170854461,0.92756276711245,0.001995219541840286,0.0015929700107262027,0.24755884486813795,first,oracle,0,0,1,4215
6,51,13,0.865756597221822,0.971137675805114,0.0008814317099111916,0.0007090007549175719,0.13077227633075061,0.7701791879007069,0.915299173812263,0.0020859264445787546,0.0015234612601035713,0.25881339385014634,first,oracle,0,0,1,4216
7,51,13,0.8887425548045279,0.9766566659934812,0.0007911109128951327,0.0006437089366932607,0.11737196852132571,0.7141845496275876,0.9215953926753048,0.00196048342435721,0.001449096731415407,0.24324892661654401,first,oracle,0,0,1,4217
8,51,13,0.9016965319961202,0.9793455979113856,0.0007374305396695961,0.0005915823335284718,0.10940776151350773,0.803209448779069,0.9258529718152052,0.0020256361540876193,0.0016432940259220369,0.25133281622058706,first,oracle,0,0,1,4218
9,51,13,0.9090158119868572,0.9824623064410962,0.0006790731657895737,0.0005562543592870674,0.10074965841015542,0.8065984648263128,0.9361416108159868,0.0017227114387856832,0.0013251957081790316,0.213747131522958,first,oracle,0,0,1,4219
1,51,13,0.6432188954585275,0.8060730382745753,0.0023718807038024484,0.001833296644592747,0.4035002297703307,0.33931890893916206,0.7276646991044236,0.0034996585238561144,0.00313277050221437,0.5898012451711441,first,oracle,0,0,2,4221
2,51,13,0.7039371275755233,0.8818381813040732,0.0016074138588634314,0.0012572961108263591,0.27345045657128836,0.36038644899404393,0.6024904963138142,0.0027756841711577525,0.0022978498395323952,0.4677890626159804,first,oracle,0,0,2,4222
3,51,13,0.7421511997052473,0.912569427980299,0.0012906792204782128,0.0010222101107796638,0.21956810947019959,0.7100873809734568,0.7303278802627545,0.002012983758586815,0.0014209004243542955,0.33925033520573455,first,oracle,0,0,2,4223
4,51,13,0.7789303788680716,0.9282343228286012,0.0010938644871553737,0.00086187907579643,0.18608632853971727,0.6203796203796202,0.8503433757441473,0.001702998749110061,0.0012593067107887965,0.28700822548917665,first,oracle,0,0,2,4224
5,51,13,0.8171812209535877,0.942974087341282,0.0009494599412653884,0.0007620203904212332,0.16152047775595776,0.3285954551777336,0.7271356489717321,0.0026179542863322405,0.0021152089529417437,0.44120667412389303,first,oracle,0,0,2,4225
6,51,13,0.85526991288691,0.953477376889593,0.0008501025880930317,0.0006938116200641585,0.14461797723384173,0.25560515433933156,0.8145560071383732,0.0020453601789824235,0.001616531722266788,0.3447067684358184,first,oracle,0,0,2,4226
7,51,13,0.8617124785453689,0.9608587400867323,0.0007772418508447572,0.0006383046119443987,0.13222303503721974,0.7036634251824124,0.7972360351024879,0.0016253850632296915,0.0011718588066995921,0.2739279068630826,first,oracle,0,0,2,4227
8,51,13,0.8695277617695563,0.9641531874198788,0.0007373028129823396,0.000576473033041196,0.1254286752161477,0.19804246386524865,0.5577279560434345,0.0027273976770066264,0.0022624560108101357,0.4596512874070142,first,oracle,0,0,2,4228
9,51,13,0.8862179864623975,0.971652185210462,0.0006502505132047559,0.0005114866554253685,0.11061948902647993,0.5738691688058776,0.7193921058573104,0.0021414126306064122,0.0017011902096128644,0.36089459224302445,first,oracle,0,0,2,4229
1,51,13,0.6921075369268352,0.8565921390818477,0.00227737229371993,0.0017631232880160482,0.3917050259270476,0.6445073913428343,0.900619365747541,0.002198719961707853,0.001782166734992367,0.386440455634297,first,oracle,0,0,3,4231
2,51,13,0.7859631167285098,0.9176127932241656,0.0015341867789028937,0.0011937208669968228,0.2638780991866216,0.8220766575196955,0.9177517807401757,0.001719020159858189,0.0013561769118661997,0.3021298507264869,first,oracle,0,0,3,4232
3,51,13,0.8120807380936577,0.9319766758310157,0.0012392405866632043,0.0009535192305862532,0.21314774376914256,0.6434198712679725,0.9146134191006268,0.0016485076405956037,0.0011479096549404412,0.289736780873885,first,oracle,0,0,3,4233
4,51,13,0.8327412944967933,0.9492326331572379,0.0010309502621182979,0.0007976877073926026,0.17732208311576433,0.6630711061090808,0.9328041014231114,0.0015861887168116243,0.0010379698744353853,0.2787837928985478,first,oracle,0,0,3,4234
5,51,13,0.8671316206302427,0.956755745424534,0.0009190239773039142,0.0007122344456563635,0.1580709099913547,0.600880132525702,0.9151216312226003,0.0015968462374136797,0.0011792955704141121,0.2806569268988373,first,oracle,0,0,3,4235
