layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(6, 30)",0.002949862553706258,0.006470943587640608,0.00968531817476773,0.014535163530130549,Increasing Damage
first,"(6, 39)",0.002898962279368055,0.005687306396376909,0.008911470821901281,0.013204673506247122,Increasing Damage
first,"(11, 63)",0.001328107750886337,0.001473700392383873,0.001540744508971736,0.0017818542800294404,Stable
first,"(20, 50)",0.0017218709684788166,0.002351774848128126,0.0028322091688284677,0.0034086845713555735,Stable
first,"(31, 59)",0.0016545024152064352,0.002589034481015426,0.0028142898748762055,0.003409835977983462,Stable
first,"(4, 51)",0.0016040067345613335,0.0027056801497930935,0.002923987908797797,0.0037440624896075262,Stable
first,"(32, 33)",0.003993552429552564,0.003870429482925084,0.0039557198784382595,0.004862797369748245,Stable
first,"(16, 25)",0.0030295265340503233,0.003906562141931301,0.0035314635425378288,0.0041119078621088935,Stable
first,"(51, 55)",0.0011810574863560007,0.002412736944916032,0.0028810485980935176,0.0036434608477502305,Stable
first,"(13, 38)",0.0037446526204922242,0.004255731149297714,0.003992641242874426,0.004518409332266634,Stable
first,"(24, 47)",0.0015894604467066083,0.0026082620901454415,0.0035633418144118694,0.004387923101111191,Stable
first,"(5, 15)",0.0031969501905351164,0.004672153774252696,0.004121217639213303,0.005511507265063183,Stable
first,"(5, 24)",0.0032556441461348094,0.004223905681761402,0.003962822868892659,0.00428516222460444,Stable
first,"(36, 39)",0.001502377176277882,0.002365544178983346,0.0027296119267857413,0.002879725606925902,Stable
first,"(17, 35)",0.00250613424929321,0.003913718340570535,0.004371734593570727,0.005382253336823538,Stable
first,"(6, 7)",0.002980403249421264,0.0056342302270355185,0.008875898140748044,0.012847247773699553,Stable
first,"(6, 25)",0.002947232527317099,0.006514885606873723,0.009726106902649028,0.014287094439883767,Increasing Damage
first,"(19, 62)",0.0017805235343995639,0.00299435059382304,0.0036713128574534597,0.005024558068214492,Stable
first,"(20, 27)",0.001552406599164126,0.0030015120275296704,0.0032392565077629873,0.0033484320206508033,Stable
first,"(39, 40)",0.0019524485743613318,0.002242727283037335,0.0024609196380815626,0.003152781719350343,Stable
first,"(31, 36)",0.001631696036224475,0.002648725274415899,0.0033343000583409776,0.0035096234082777128,Stable
first,"(10, 13)",0.002817157837951248,0.0026988295876927753,0.0033541810250042104,0.004160275980544577,Stable
first,"(20, 63)",0.0011859538112979177,0.0015262506119764095,0.0016685064699046804,0.0018145495603402223,Stable
first,"(43, 46)",0.003145671256396013,0.0033604590295469995,0.0035099974122129894,0.003665087859005897,Stable
first,"(1, 49)",0.0019167563740588812,0.0024081289288650554,0.0029637519530224653,0.0033777499473635884,Stable
first,"(35, 51)",0.001530579401960111,0.0025610455065325343,0.002818169814704775,0.0034069559250677547,Stable
first,"(17, 21)",0.002525031016643878,0.0038550701425750806,0.004164329633745076,0.004760872183758339,Stable
first,"(5, 28)",0.003164186786099361,0.004315092731252269,0.0038303431902959872,0.004206523907644774,Stable
first,"(9, 26)",0.0023702503239034045,0.004040011542785229,0.004375937510123384,0.004998960704862768,Stable
first,"(49, 62)",0.0017280144740008645,0.002719203648352948,0.0030348003242725123,0.0038007753340330973,Stable
first,"(27, 43)",0.0014571898031587576,0.002873605757678077,0.0035127401288827602,0.002940671661418847,Stable
first,"(6, 20)",0.002998806021425445,0.005863029210550682,0.00917172786906153,0.013951749526169505,Increasing Damage
first,"(30, 39)",0.0010619608115305544,0.002522398870721628,0.00277971882754026,0.0033187893723021686,Stable
first,"(27, 52)",0.0016213335525923642,0.003053301952635157,0.0029680670577037394,0.0032563519735429613,Stable
first,"(42, 50)",0.0016871911994239444,0.0030790484914956506,0.0036025202783382415,0.004424620086633236,Stable
first,"(11, 44)",0.0017360979278499753,0.002323144676360236,0.0025607909287553615,0.0032396188174019292,Stable
first,"(19, 57)",0.0026530411389673885,0.0052743553610486524,0.005352165923618511,0.01216321208929329,Stable
first,"(39, 53)",0.0016929580107446851,0.0029101653461778526,0.003785445287211264,0.004828442424453388,Stable
first,"(31, 49)",0.001669858818033688,0.0024133370361449705,0.0029851128094398457,0.003760367615970898,Stable
first,"(4, 32)",0.0017115202229817071,0.003686073295698347,0.003560575992440204,0.00434737726003184,Stable
first,"(23, 54)",0.0017316920958938282,0.004733543590958599,0.004933615135000895,0.0057939289618784,Stable
first,"(53, 55)",0.0015895138418699974,0.003232548864032109,0.004318876035383299,0.00588863497963455,Stable
first,"(34, 60)",0.001595813007868366,0.0025985400004215585,0.0028526061418339818,0.003197445285169371,Stable
first,"(1, 44)",0.0018246127735051898,0.0025505539054080767,0.0027776105769275502,0.003574043084585253,Stable
first,"(9, 12)",0.0016501377725001802,0.0023148764275878553,0.002605484282449944,0.0032277257432697013,Stable
first,"(15, 46)",0.003200196065330788,0.0041514549872991476,0.004362238101608732,0.005699721318021585,Stable
