Layer,Expert_A,Expert_B,Oracle_KL,Pred_XGBoost_B,Residual_XGBoost_B,AbsResidual_XGBoost_B,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap
last,47,48,0.008788683679461376,0.007179983425885439,0.0016087002535759374,0.0016087002535759374,0.6639571893852539,-0.6310904068785772,0.9337072525385508,1.078902123335615,0.20402859239976473,1.3632351877305942,1.9055709461330812
last,47,49,0.01134591408625322,0.009738810360431671,0.001607103725821549,0.001607103725821549,0.7502074826837334,-0.37683239036465815,-0.41025021865293615,0.9351469076362301,-0.2125810035337731,2.029371337625697,1.0742437854706788
last,47,50,0.0040837879087968305,0.0034730478655546904,0.0006107400432421401,0.0006107400432421401,0.7455348693142625,0.5944548214889904,0.551604028012671,1.1938324367642281,0.4506357911817976,-0.2135571149533384,-0.250021936112123
last,47,51,0.004474457356767815,0.003852400928735733,0.0006220564280320822,0.0006220564280320822,0.5490154370141043,-0.38480972152143855,0.0056511732224395535,1.1575446726068002,0.32527687250013715,-0.0014468639224479469,0.20198305606552405
last,47,52,0.008180079031447124,0.005276901181787252,0.002903177849659872,0.002903177849659872,0.470272072616545,-0.806628225909789,-1.4182895815007401,0.9459649860093304,0.3865111905038615,0.3582435071981482,0.21246306842382878
last,47,53,0.00767990613109376,0.005791208241134882,0.0018886978899588782,0.0018886978899588782,0.5103970688046099,-0.16706397028894437,4.282794137519761,0.9886348877957405,-0.2440645311561497,0.3672140635173262,0.14385824088242163
last,47,54,0.006964628616934594,0.005527520552277565,0.0014371080646570292,0.0014371080646570292,0.42310388046174696,1.1376550929834937,-5.235755105379344,1.2830751770437796,0.5674576454812154,0.7199594878101716,0.7797717986352494
last,47,55,0.009676727752302246,0.006376686971634626,0.0033000407806676197,0.0033000407806676197,0.47368706243080233,0.4037438681168254,1.4259345182366714,0.9038426580135267,-1.054771506133054,1.067496201982204,-0.19738254078016945
last,47,56,0.008807178539994995,0.006626214366406202,0.002180964173588793,0.002180964173588793,0.45452077863783996,-0.7329347410159254,-2.93358365921098,0.9333393064440545,-0.6693929503928426,1.0984590899225928,0.07177010262568981
last,47,57,0.006232436802318374,0.00571780651807785,0.0005146302842405238,0.0005146302842405238,0.5689352868251205,-0.219134406119031,9.414789372993946,0.8263484835124527,-0.40167865217397275,0.32814873761122765,-0.24349009892214055
last,47,58,0.004998068573296378,0.0057984874583780766,-0.0008004188850816987,0.0008004188850816987,0.9792603006047934,-0.03782865458457873,5.7798416297679305,0.9632755367757456,0.5407053434948625,0.4317441944585113,0.37476315968439394
last,47,59,0.011191285974370146,0.008730888366699219,0.002460397607670927,0.002460397607670927,0.5801087302513407,-0.8864940495801624,2.948845756073873,0.9325536379927913,0.518964578901785,1.6042827172104466,2.1415360114630824
last,47,60,0.007870395432728088,0.006383351981639862,0.0014870434510882262,0.0014870434510882262,0.8887013234786725,-0.0017437815637266305,-1.418866321437809,0.9610096106832898,0.37850356681586766,0.7138826593358899,0.816942638182901
last,47,61,0.0061856178848774986,0.006141145713627338,4.447217125016015e-05,4.447217125016015e-05,0.5212605168454769,-0.11264971248313169,-3.8602467385501473,1.1217052029165315,-0.6644558336247965,0.8032988497431821,-0.1052391890879975
last,47,62,0.006680382581158395,0.004951736889779568,0.0017286456913788275,0.0017286456913788275,0.4746946734475847,-0.07499423456472895,-2.3740290172627936,1.2195520780133409,1.622593892747902,0.27982348260146156,2.859166902636979
last,47,63,0.004684843248855996,0.004954186733812094,-0.00026934348495609786,0.00026934348495609786,0.48357415102219087,0.5714945904709654,1.1555155455336847,1.2102404681942607,-0.7116531005551371,0.3067351515589963,-0.34297909477370175
last,48,49,0.012419500540983631,0.007951460778713226,0.004468039762270405,0.004468039762270405,0.8784326633316539,-0.09143893575380874,1.4232306159077326,1.1251381003485346,2.651407213452638,1.9839398104608268,4.712666109588879
last,48,50,0.004508151603291988,0.005327199120074511,-0.0008190475167825229,0.0008190475167825229,0.8789568831703001,0.11565773656141803,-0.6709914424528407,1.4071935136410458,0.024645393143939848,0.5451783259784418,-0.20589117365748788
last,48,51,0.005100445174331586,0.005114198662340641,-1.375348800905507e-05,1.375348800905507e-05,0.6747646870394962,0.7311608693458072,0.19292439003117723,1.4266755433559295,0.8355905763982516,0.7150401504738482,0.39966209228526695
last,48,52,0.008978837495493396,0.006970237009227276,0.0020086004862661204,0.0020086004862661204,0.6022393764203396,-0.3876841370711106,-1.6868801747547,0.9360536002185097,-0.26549682603873587,1.132894451276858,0.03782660584901603
last,48,53,0.007755104227347392,0.0064458707347512245,0.0013092334925961678,0.0013092334925961678,0.6405008718935249,0.40911491687339446,0.13314473672438842,1.3042054192435049,-0.7433555751693716,1.174274759458873,-0.19849403823215928
last,48,54,0.007273365522569715,0.008093620650470257,-0.0008202551279005415,0.0008202551279005415,0.5690638214970962,-0.4701005861343081,-2.884529386797558,1.0013461555093275,-0.30873721104714574,1.377703826955075,1.1402239593742656
last,48,55,0.010370537660705012,0.007856921292841434,0.002513616367863578,0.002513616367863578,0.6114359061858193,-0.08179135705208285,1.371671398394505,1.1303930955110928,1.0678972492932528,1.3895681111191496,2.1372158769424834
last,48,56,0.012824544116562928,0.007016059942543507,0.005808484174019421,0.005808484174019421,0.5851735003847219,-0.08866599503599569,-7.753280188867751,0.8649441990806687,2.656692901660789,1.1615423569413297,4.051203260741421
last,48,57,0.006621891221225105,0.006662349682301283,-4.0458461076178266e-05,4.0458461076178266e-05,0.6997563637894139,0.10531068620619755,2.204806530885589,1.0986164637387716,-0.7042008958310476,1.1094552557331985,-0.3398209483484557
last,48,58,0.0055622452656496416,0.007044777739793062,-0.0014825324741434207,0.0014825324741434207,1.1095128006671706,-0.5416540663612104,7.35173147240524,0.9524409850635777,-0.6067080084805483,1.2353324169861828,-0.0007458159688795837
last,48,59,0.011013278893472405,0.008748178370296955,0.00226510052317545,0.00226510052317545,0.7038407420130193,0.46376200304341697,0.16805690575917226,1.1169050915567593,0.995420634921032,2.1821601678362152,2.5967673128779674
last,48,60,0.00825429887156581,0.008382237516343594,-0.0001279386447777843,0.0001279386447777843,1.018043495628939,-0.21774071272521786,-0.3549251142708954,0.9861135151254767,0.09892291547336636,1.4321059104391234,0.8291824030151619
last,48,61,0.007320959060653249,0.005682071205228567,0.001638887855424682,0.001638887855424682,0.6560152588297649,-0.25226836988883405,-0.2248790747801589,1.4111181219405062,2.472832943706552,0.9693988280402233,3.5166876417216106
last,48,62,0.006362593206689211,0.0065189567394554615,-0.0001563635327662509,0.0001563635327662509,0.6140817041983708,-0.7880758563478237,-1.7673372008913264,1.3264713700459694,0.2280531149076862,1.1175576936989078,1.5707023166686929
last,48,63,0.005402385580742959,0.005845610052347183,-0.0004432244716042243,0.0004432244716042243,0.6212614997576743,0.06968879210570203,0.8321142488285556,1.2577176563947923,0.2165502601644192,0.9167329812631125,0.6342534462604159
last,49,50,0.00689780581222363,0.006821889895945787,7.591591627784285e-05,7.591591627784285e-05,0.9637292797698271,0.2317090756737724,0.1544785434546738,1.141216445352695,-0.6054943250742397,1.1369456702597125,-0.39002056993491085
last,49,51,0.007694657702153635,0.006752060726284981,0.0009425969758686545,0.0009425969758686545,0.7637384032112498,0.5485986268464511,-0.34118304265530014,1.180416695857271,1.887506407894409,1.195688345511105,0.7501025328155223
last,49,52,0.011470693980636982,0.007799139712005854,0.0036715542686311282,0.0036715542686311282,0.693610390238825,-0.7929850977250638,-1.8595661639042593,0.8382748149231796,1.0580529975272768,1.3956449395934316,1.5882114007146162
last,49,53,0.010349797595824514,0.008584780618548393,0.0017650169772761206,0.0017650169772761206,0.7336784279251908,-0.32616787423625104,0.03041725681837002,1.006923442398888,-1.1064795615157224,1.7463647543948495,-0.25887420566766567
last,49,54,0.00942275963348165,0.009118829853832722,0.0003039297796489284,0.0003039297796489284,0.6562410766064125,-0.20723947700047832,-2.616388911713068,0.8432759742344165,-1.3017516309829944,2.142226723576648,0.002422150570404648
last,49,55,0.013609521055959563,0.008030583150684834,0.005578937905274729,0.005578937905274729,0.6982824995507587,0.16113727635931416,1.6183989107890033,1.022891599068396,3.174263306010499,1.4969254141647983,4.38250392986999
last,49,56,0.015134103619533618,0.008009777404367924,0.0071243262151656946,0.0071243262151656946,0.6761488290365368,-0.4132081226691894,0.1059450585963663,0.8064763651284488,2.742816737369875,1.5012660059321423,4.7501372119567415
